GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore,OmimIDs,PubMedIDs
SIAH2,6478,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.71,,21296072
SIGIRR,59307,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.98,,21296072
SIGMAR1,10280,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.52,,21296072
SIK2,23235,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.92,,21296072
SIK3,23387,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.93,,21296072
SIKE1,80143,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.16,,21296072
SIN3A,25942,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.81,,21296072
SIN3B,23309,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.99,,21296072
SIPA1,6494,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.88,,21296072
SIPA1L2,57568,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.68,,21296072
SIRT1,23411,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,2.98,,21296072
SIRT5,23408,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.88,,21296072
SIRT7,51547,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.98,,21296072
SIVA1,10572,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.78,,21296072
SKA2,348235,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.89,,21296072
SKIL,6498,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.7,,21296072
SKN-1,177343,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.23,,21296072
SKP2,6502,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.48,,21296072
SLC10A3,8273,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.25,,21296072
SLC10A4,201780,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.11,,21296072
SLC11A2,4891,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.46,,21296072
SLC12A2,6558,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.47,,21296072
SLC12A5,57468,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.8,,21296072
SLC13A4,26266,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.83,,21296072
SLC15A2,6565,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.74,,21296072
SLC15A4,121260,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.95,,21296072
SLC16A13,201232,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.96,,21296072
SLC16A14,151473,Pulmonary edema of mountaineers,MESH:C535833,,Fenfluramine,5.48,,8681646
SLC16A3,9123,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.46,,21296072
SLC16A5,9121,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.8,,21296072
SLC16A9A,795588,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.37,,21296072
SLC17A1,6568,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.86,,21296072
SLC17A2,10246,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.88,,21296072
SLC17A3,10786,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.93,,21296072
SLC17A4,10050,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.17,,21296072
SLC19A1,6573,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.54,,21296072
