GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore,OmimIDs,PubMedIDs
ACVR1C,130399,Altitude Sickness,MESH:D000532,,Dexamethasone,3.56,,10915127
ACVR2B,93,Altitude Sickness,MESH:D000532,,Dexamethasone,3.52,,10915127
ACVRL1,94,Altitude Sickness,MESH:D000532,,Dexamethasone,3.47,,10915127
ACY3.1,791456,Altitude Sickness,MESH:D000532,,Dexamethasone,4.95,,10915127
ADA,100,Altitude Sickness,MESH:D000532,,Dexamethasone,3.13,,10915127
ADAM10,102,Altitude Sickness,MESH:D000532,,Dexamethasone,3.37,,10915127
ADAM12,8038,Altitude Sickness,MESH:D000532,,Dexamethasone,3.43,,10915127
ADAM15,8751,Altitude Sickness,MESH:D000532,,Dexamethasone,3.54,,10915127
ADAM17,6868,Altitude Sickness,MESH:D000532,,Dexamethasone,3.25,,10915127
ADAM18,8749,Altitude Sickness,MESH:D000532,,Dexamethasone,4.06,,10915127
ADAM19,8728,Altitude Sickness,MESH:D000532,,Dexamethasone,3.38,,10915127
ADAM22,53616,Altitude Sickness,MESH:D000532,,Dexamethasone,3.49,,10915127
ADAM33,80332,Altitude Sickness,MESH:D000532,,Dexamethasone,3.67,,10915127
ADAM9,8754,Altitude Sickness,MESH:D000532,,Dexamethasone,3.43,,10915127
ADAMTS1,9510,Altitude Sickness,MESH:D000532,,Dexamethasone,3.07,,10915127
ADAMTS12,81792,Altitude Sickness,MESH:D000532,,Dexamethasone,3.56,,10915127
ADAMTS15,170689,Altitude Sickness,MESH:D000532,,Dexamethasone,3.56,,10915127
ADAMTS15A,569571,Altitude Sickness,MESH:D000532,,Dexamethasone,4.78,,10915127
ADAMTS16,170690,Altitude Sickness,MESH:D000532,,Dexamethasone,3.93,,10915127
ADAMTS20,80070,Altitude Sickness,MESH:D000532,,Dexamethasone,3.75,,10915127
ADAMTS4,9507,Altitude Sickness,MESH:D000532,,Dexamethasone,3.43,,10915127
ADAMTS5,11096,Altitude Sickness,MESH:D000532,,Dexamethasone,3.33,,10915127
ADAMTS6,11174,Altitude Sickness,MESH:D000532,,Dexamethasone,3.61,,10915127
ADAMTS9,56999,Altitude Sickness,MESH:D000532,,Dexamethasone,3.41,,10915127
ADAMTSL1,92949,Altitude Sickness,MESH:D000532,,Dexamethasone,3.65,,10915127
ADAMTSL5,339366,Altitude Sickness,MESH:D000532,,Dexamethasone,3.65,,10915127
ADARB1,104,Altitude Sickness,MESH:D000532,,Dexamethasone,3.37,,10915127
ADAT2,134637,Altitude Sickness,MESH:D000532,,Dexamethasone,3.65,,10915127
ADCK2,90956,Altitude Sickness,MESH:D000532,,Dexamethasone,3.75,,10915127
ADCY1,107,Altitude Sickness,MESH:D000532,,Dexamethasone,3.45,,10915127
ADCY3,109,Altitude Sickness,MESH:D000532,,Dexamethasone,3.46,,10915127
ADCY4,196883,Altitude Sickness,MESH:D000532,,Dexamethasone,3.57,,10915127
ADCY6,112,Altitude Sickness,MESH:D000532,,Dexamethasone,3.41,,10915127
ADCY7,113,Altitude Sickness,MESH:D000532,,Dexamethasone,3.33,,10915127
ADCY8,114,Altitude Sickness,MESH:D000532,,Dexamethasone,3.63,,10915127
ADCYAP1,116,Altitude Sickness,MESH:D000532,,Dexamethasone,3.41,,10915127
ADCYAP1B,335625,Altitude Sickness,MESH:D000532,,Dexamethasone,4.56,,10915127
ADD2,119,Altitude Sickness,MESH:D000532,,Dexamethasone,3.57,,10915127
ADD3,120,Altitude Sickness,MESH:D000532,,Dexamethasone,3.29,,10915127
ADGRA3,166647,Altitude Sickness,MESH:D000532,,Dexamethasone,3.62,,10915127
ADGRB2,576,Altitude Sickness,MESH:D000532,,Dexamethasone,3.57,,10915127
ADGRB3,577,Altitude Sickness,MESH:D000532,,Dexamethasone,3.83,,10915127
ADGRD1,283383,Altitude Sickness,MESH:D000532,,Dexamethasone,3.59,,10915127
ADGRF5,221395,Altitude Sickness,MESH:D000532,,Dexamethasone,3.56,,10915127
ADGRF6,565101,Altitude Sickness,MESH:D000532,,Dexamethasone,4.86,,10915127
ADGRG2,10149,Altitude Sickness,MESH:D000532,,Dexamethasone,3.45,,10915127
ADGRL1,22859,Altitude Sickness,MESH:D000532,,Dexamethasone,3.48,,10915127
ADGRL2,23266,Altitude Sickness,MESH:D000532,,Dexamethasone,3.44,,10915127
ADGRV1,84059,Altitude Sickness,MESH:D000532,,Dexamethasone,3.41,,10915127
ADH1,11522,Altitude Sickness,MESH:D000532,,Dexamethasone,3.27,,10915127
ADH1A,124,Altitude Sickness,MESH:D000532,,Dexamethasone,3.75,,10915127
ADH1B,125,Altitude Sickness,MESH:D000532,,Dexamethasone,3.53,,10915127
ADH1C,126,Altitude Sickness,MESH:D000532,,Dexamethasone,3.62,,10915127
ADH4,127,Altitude Sickness,MESH:D000532,,Dexamethasone,3.33,,10915127
ADHFE1,137872,Altitude Sickness,MESH:D000532,,Dexamethasone,3.41,,10915127
ADIG,149685,Altitude Sickness,MESH:D000532,,Dexamethasone,4.04,,10915127
ADIPOQ,9370,Altitude Sickness,MESH:D000532,,Dexamethasone,2.71,,10915127
ADIPOR1A,436740,Altitude Sickness,MESH:D000532,,Dexamethasone,4.56,,10915127
ADIPOR2,79602,Altitude Sickness,MESH:D000532,,Dexamethasone,3.29,,10915127
ADIRF,10974,Altitude Sickness,MESH:D000532,,Dexamethasone,3.81,,10915127
ADKA,368220,Altitude Sickness,MESH:D000532,,Dexamethasone,4.56,,10915127
ADKB,322229,Altitude Sickness,MESH:D000532,,Dexamethasone,4.66,,10915127
ADM,133,Altitude Sickness,MESH:D000532,,Dexamethasone,2.96,,10915127
ADMB,570100,Altitude Sickness,MESH:D000532,,Dexamethasone,5.41,,10915127
ADNPB,100330315,Altitude Sickness,MESH:D000532,,Dexamethasone,5.06,,10915127
ADO,84890,Altitude Sickness,MESH:D000532,,Dexamethasone,3.74,,10915127
ADORA2B,136,Altitude Sickness,MESH:D000532,,Dexamethasone,3.23,,10915127
ADORA3,140,Altitude Sickness,MESH:D000532,,Dexamethasone,3.55,,10915127
ADPGK,83440,Altitude Sickness,MESH:D000532,,Dexamethasone,3.5,,10915127
ADPRH,141,Altitude Sickness,MESH:D000532,,Dexamethasone,3.67,,10915127
ADPRHL1,113622,Altitude Sickness,MESH:D000532,,Dexamethasone,3.72,,10915127
ADPRM,56985,Altitude Sickness,MESH:D000532,,Dexamethasone,3.74,,10915127
ADRA1A,148,Altitude Sickness,MESH:D000532,,Dexamethasone,3.27,,10915127
ADRA1B,147,Altitude Sickness,MESH:D000532,,Dexamethasone,3.23,,10915127
ADRA1D,146,Altitude Sickness,MESH:D000532,,Dexamethasone,3.41,,10915127
ADRA2A,150,Altitude Sickness,MESH:D000532,,Dexamethasone,3.28,,10915127
ADRA2C,152,Altitude Sickness,MESH:D000532,,Dexamethasone,3.5,,10915127
ADRB1,153,Altitude Sickness,MESH:D000532,,Dexamethasone,3.13,,10915127
ADRB2,154,Altitude Sickness,MESH:D000532,,Dexamethasone,2.89,,10915127
ADRB3,155,Altitude Sickness,MESH:D000532,,Dexamethasone,3.29,,10915127
ADSL,158,Altitude Sickness,MESH:D000532,,Dexamethasone,3.5,,10915127
ADSS1,122622,Altitude Sickness,MESH:D000532,,Dexamethasone,3.43,,10915127
ADSS2,159,Altitude Sickness,MESH:D000532,,Dexamethasone,3.59,,10915127
AFAP1L1,134265,Altitude Sickness,MESH:D000532,,Dexamethasone,3.61,,10915127
AFDN,4301,Altitude Sickness,MESH:D000532,,Dexamethasone,3.49,,10915127
AFF1,4299,Altitude Sickness,MESH:D000532,,Dexamethasone,3.5,,10915127
AFF2,2334,Altitude Sickness,MESH:D000532,,Dexamethasone,3.73,,10915127
AFF4,27125,Altitude Sickness,MESH:D000532,,Dexamethasone,3.38,,10915127
AFG3L1P,172,Altitude Sickness,MESH:D000532,,Dexamethasone,4.21,,10915127
AFG3L2,10939,Altitude Sickness,MESH:D000532,,Dexamethasone,3.63,,10915127
AFP,174,Altitude Sickness,MESH:D000532,,Dexamethasone,2.98,,10915127
AFP4,568707,Altitude Sickness,MESH:D000532,,Dexamethasone,4.24,,10915127
AFTPH,54812,Altitude Sickness,MESH:D000532,,Dexamethasone,3.61,,10915127
AGA,175,Altitude Sickness,MESH:D000532,,Dexamethasone,3.61,,10915127
AGAP2,116986,Altitude Sickness,MESH:D000532,,Dexamethasone,3.58,,10915127
AGAP7P,653268,Altitude Sickness,MESH:D000532,,Dexamethasone,4.66,,10915127
AGFG2,3268,Altitude Sickness,MESH:D000532,,Dexamethasone,3.54,,10915127
