Disease Name,Gene Symbol,Gene ID
Deep Vein Thrombosis ,CYBB,1536
Deep Vein Thrombosis ,CYP2C9,1559
Deep Vein Thrombosis ,CYP4F2,8529
Deep Vein Thrombosis ,CYP4V2,285440
Deep Vein Thrombosis ,DDR2,4921
Deep Vein Thrombosis ,DICER1,23405
Deep Vein Thrombosis ,DLG2,1740
Deep Vein Thrombosis ,DNMT1,1786
Deep Vein Thrombosis ,DNMT3A,1788
Deep Vein Thrombosis ,DNMT3B,1789
Deep Vein Thrombosis ,DROSHA,29102
Deep Vein Thrombosis ,ECH1,1891
Deep Vein Thrombosis ,EGF,1950
Deep Vein Thrombosis ,EGFR,1956
Deep Vein Thrombosis ,EGR1,1958
Deep Vein Thrombosis ,EIF3K,27335
Deep Vein Thrombosis ,EMP2,2013
Deep Vein Thrombosis ,ENG,2022
Deep Vein Thrombosis ,ENTPD1,953
Deep Vein Thrombosis ,EREG,2069
Deep Vein Thrombosis ,ESR1,2099
Deep Vein Thrombosis ,ESR2,2100
Deep Vein Thrombosis ,F11,2160
Deep Vein Thrombosis ,F12,2161
Deep Vein Thrombosis ,F2,2147
Deep Vein Thrombosis ,F5,2153
Deep Vein Thrombosis ,F7,2155
Deep Vein Thrombosis ,F8,2157
Deep Vein Thrombosis ,F9,2158
Deep Vein Thrombosis ,FAS,355
Deep Vein Thrombosis ,FASLG,356
Deep Vein Thrombosis ,FCER1G,2207
Deep Vein Thrombosis ,FCGR2A,2212
Deep Vein Thrombosis ,FGA,2243
Deep Vein Thrombosis ,FGB,2244
Deep Vein Thrombosis ,FGF1,2246
Deep Vein Thrombosis ,FGF12,2257
Deep Vein Thrombosis ,FGF13,2258
Deep Vein Thrombosis ,FGF5,2250
Deep Vein Thrombosis ,FGG,2266
Deep Vein Thrombosis ,FGR,2268
Deep Vein Thrombosis ,FLNA,2316
Deep Vein Thrombosis ,FMO3,2328
Deep Vein Thrombosis ,FOS,2353
Deep Vein Thrombosis ,FOXC2,2303
Deep Vein Thrombosis ,FOXO1,2308
Deep Vein Thrombosis ,FOXO4,4303
Deep Vein Thrombosis ,FOXP3,50943
Deep Vein Thrombosis ,FRK,2444
Deep Vein Thrombosis ,FTH1,2495
Deep Vein Thrombosis ,GAB2,9846
Deep Vein Thrombosis ,GABARAPL1,23710
Deep Vein Thrombosis ,GAPDH,2597
Deep Vein Thrombosis ,GATA2,2624
Deep Vein Thrombosis ,GC,2638
Deep Vein Thrombosis ,GDF15,9518
Deep Vein Thrombosis ,GGCX,2677
Deep Vein Thrombosis ,GP6,51206
Deep Vein Thrombosis ,GPI,2821
Deep Vein Thrombosis ,GPX4,2879
Deep Vein Thrombosis ,GRN,2896
Deep Vein Thrombosis ,GSDMD,79792
Deep Vein Thrombosis ,GSTP1,2950
Deep Vein Thrombosis ,HCK,3055
Deep Vein Thrombosis ,HES1,3280
Deep Vein Thrombosis ,HEY2,23493
Deep Vein Thrombosis ,HK3,3101
Deep Vein Thrombosis ,HLA-DRA,3122
Deep Vein Thrombosis ,HMGCR,3156
Deep Vein Thrombosis ,HR,55806
Deep Vein Thrombosis ,HRG,3273
Deep Vein Thrombosis ,HS3ST1,9957
Deep Vein Thrombosis ,HS3ST3A1,9955
Deep Vein Thrombosis ,ICAM1,3383
Deep Vein Thrombosis ,IFNG,3458
Deep Vein Thrombosis ,IL1B,3553
Deep Vein Thrombosis ,IL1R1,3554
Deep Vein Thrombosis ,IL6,3569
Deep Vein Thrombosis ,ITGA2B,3674
Deep Vein Thrombosis ,ITGAM,3684
Deep Vein Thrombosis ,ITGB3,3690
Deep Vein Thrombosis ,JAG1,182
Deep Vein Thrombosis ,JAK2,3717
Deep Vein Thrombosis ,KCNK3,3777
Deep Vein Thrombosis ,KEAP1,9817
Deep Vein Thrombosis ,KIF5B,3799
Deep Vein Thrombosis ,KIT,3815
Deep Vein Thrombosis ,KLF11,8462
Deep Vein Thrombosis ,KLF15,28999
Deep Vein Thrombosis ,KLKB1,3818
Deep Vein Thrombosis ,KNG1,3827
Deep Vein Thrombosis ,KRAS,3845
Deep Vein Thrombosis ,LGALS4,3960
Deep Vein Thrombosis ,LGALS7,3963
Deep Vein Thrombosis ,LGALS7B,653499
Deep Vein Thrombosis ,LGR4,55366
Deep Vein Thrombosis ,LINC00659,100652730
Deep Vein Thrombosis ,LIPC,3990
Deep Vein Thrombosis ,LIPG,9388
Deep Vein Thrombosis ,LPA,4018
Deep Vein Thrombosis ,LPL,4023
Deep Vein Thrombosis ,LRRC55,219527
Deep Vein Thrombosis ,MAF,4094
Deep Vein Thrombosis ,MALAT1,378938
Deep Vein Thrombosis ,MALT1,10892
