Disease Name,Gene Symbol,Gene ID
High Altitude Hypoxia,FZD6,8323
High Altitude Hypoxia,GAA,2548
High Altitude Hypoxia,GALNT13,114805
High Altitude Hypoxia,GANC,2595
High Altitude Hypoxia,GAPDH,2597
High Altitude Hypoxia,GATA1,2623
High Altitude Hypoxia,GC,2638
High Altitude Hypoxia,GCG,2641
High Altitude Hypoxia,GCH1,2643
High Altitude Hypoxia,GCK,2645
High Altitude Hypoxia,GDNF,2668
High Altitude Hypoxia,GFI1B,8328
High Altitude Hypoxia,GGT5,2687
High Altitude Hypoxia,GJA4,2701
High Altitude Hypoxia,GLIS3,169792
High Altitude Hypoxia,GNA11,2767
High Altitude Hypoxia,GNB3,2784
High Altitude Hypoxia,GNG2,54331
High Altitude Hypoxia,GP6,51206
High Altitude Hypoxia,GP9,2815
High Altitude Hypoxia,GPR171,29909
High Altitude Hypoxia,GPX1,2876
High Altitude Hypoxia,GPX4,2879
High Altitude Hypoxia,GSTCD,79807
High Altitude Hypoxia,GSTP1,2950
High Altitude Hypoxia,HBA1,3039
High Altitude Hypoxia,HBA2,3040
High Altitude Hypoxia,HBB,3043
High Altitude Hypoxia,HBEGF,1839
High Altitude Hypoxia,HECA,51696
High Altitude Hypoxia,HES4,57801
High Altitude Hypoxia,HIF1A,3091
High Altitude Hypoxia,HIF1AN,55662
High Altitude Hypoxia,HK2,3099
High Altitude Hypoxia,HLA-DOA,3111
High Altitude Hypoxia,HLA-DPA1,3113
High Altitude Hypoxia,HMBS,3145
High Altitude Hypoxia,HMGB1,3146
High Altitude Hypoxia,HMGCS1,3157
High Altitude Hypoxia,HMOX1,3162
High Altitude Hypoxia,HMOX2,3163
High Altitude Hypoxia,HNF1B,6928
High Altitude Hypoxia,HOXA10,3206
High Altitude Hypoxia,HP,3240
High Altitude Hypoxia,HPGDS,27306
High Altitude Hypoxia,HPRT1,3251
High Altitude Hypoxia,HPSE,10855
High Altitude Hypoxia,HR,55806
High Altitude Hypoxia,HRAS,3265
High Altitude Hypoxia,HSD11B1,3290
High Altitude Hypoxia,HSD17B2,3294
High Altitude Hypoxia,HSF1,3297
High Altitude Hypoxia,HSP90AA1,3320
High Altitude Hypoxia,ICAM1,3383
High Altitude Hypoxia,IGF1R,3480
High Altitude Hypoxia,IGFBP3,3486
High Altitude Hypoxia,IHH,3549
High Altitude Hypoxia,IKZF1,10320
High Altitude Hypoxia,IL6,3569
High Altitude Hypoxia,INHBC,3626
High Altitude Hypoxia,INSIG1,3638
High Altitude Hypoxia,IPP,3652
High Altitude Hypoxia,ITGA1,3672
High Altitude Hypoxia,ITGA2B,3674
High Altitude Hypoxia,JUN,3725
High Altitude Hypoxia,JUNB,3726
High Altitude Hypoxia,JUND,3727
High Altitude Hypoxia,KCNJ15,3772
High Altitude Hypoxia,KCNMB1,3779
High Altitude Hypoxia,KDR,3791
High Altitude Hypoxia,KEAP1,9817
High Altitude Hypoxia,KIF2C,11004
High Altitude Hypoxia,KIT,3815
High Altitude Hypoxia,KRAS,3845
High Altitude Hypoxia,KRT18,3875
High Altitude Hypoxia,LEPR,3953
High Altitude Hypoxia,LHCGR,3973
High Altitude Hypoxia,LONP1,9361
High Altitude Hypoxia,LOX,4015
High Altitude Hypoxia,LPCAT3,10162
High Altitude Hypoxia,LPL,4023
High Altitude Hypoxia,LRP2,4036
High Altitude Hypoxia,LY96,23643
High Altitude Hypoxia,MAPK1,5594
High Altitude Hypoxia,MAPK10,5602
High Altitude Hypoxia,MB,4151
High Altitude Hypoxia,MEF2B,100271849
High Altitude Hypoxia,METTL14,57721
High Altitude Hypoxia,METTL3,56339
High Altitude Hypoxia,MFN1,55669
High Altitude Hypoxia,MFN2,9927
High Altitude Hypoxia,MGST1,4257
High Altitude Hypoxia,MICE,4280
High Altitude Hypoxia,MID1,4281
High Altitude Hypoxia,MITF,4286
High Altitude Hypoxia,MMP14,4323
High Altitude Hypoxia,MMP2,4313
High Altitude Hypoxia,MMP9,4318
High Altitude Hypoxia,MPO,4353
High Altitude Hypoxia,MSH6,2956
High Altitude Hypoxia,MSTN,2660
High Altitude Hypoxia,MTOR,2475
High Altitude Hypoxia,MYC,4609
High Altitude Hypoxia,MYLK,4638
High Altitude Hypoxia,N4BP3,23138
High Altitude Hypoxia,NAPG,8774
High Altitude Hypoxia,NDP,4693
High Altitude Hypoxia,NDRG1,10397
High Altitude Hypoxia,NDUFA11,126328
High Altitude Hypoxia,NDUFB8,4714
High Altitude Hypoxia,NEGR1,257194
High Altitude Hypoxia,NF1,4763
High Altitude Hypoxia,NFATC3,4775
High Altitude Hypoxia,NFE2L2,4780
High Altitude Hypoxia,NFKBIA,4792
